,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
12,Emanual Davis,HOU,28.0,195.58,87.996848,Delaware State,USA,Undrafted,Undrafted,Undrafted,13,5.0,1.7,2.0,6.6,0.011000000000000001,0.098,0.14400000000000002,0.565,0.191,1996-97
13,Ennis Whatley,POR,34.0,190.5,80.28578399999998,Alabama,USA,1983,1,13,3,1.3,1.0,1.0,-57.4,0.0,0.15,0.115,0.5,0.375,1996-97
14,Eric Leckner,VAN,31.0,210.82,120.20188,Wyoming,USA,1988,1,17,20,1.7,1.8,0.3,-3.9,0.044000000000000004,0.258,0.175,0.444,0.067,1996-97
15,Eric Mobley,VAN,27.0,210.82,106.59411999999999,Pittsburgh,USA,1994,1,18,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.47200000000000003,0.076,1996-97
16,Eric Montross,NJN,25.0,213.36,122.46983999999999,North Carolina,USA,1994,1,9,78,4.4,6.6,0.8,-6.6,0.107,0.20600000000000002,0.11199999999999999,0.452,0.05,1996-97
17,Eric Murdock,DEN,29.0,185.42,86.18248,Providence,USA,1991,1,21,12,3.8,0.9,2.0,-1.4,0.01,0.102,0.188,0.588,0.436,1996-97
18,Eric Piatkowski,LAC,26.0,200.66,97.52228000000001,Nebraska,USA,1994,1,15,65,6.0,1.6,0.8,2.4,0.071,0.08800000000000001,0.22,0.579,0.111,1996-97
19,Eric Snow,SEA,24.0,190.5,90.7184,Michigan State,USA,1995,2,43,67,3.0,1.0,2.4,-1.2,0.027000000000000003,0.085,0.145,0.515,0.33899999999999997,1996-97
20,Eric Williams,BOS,24.0,203.2,99.79024,Providence,USA,1995,1,14,72,15.0,4.6,1.8,-6.8,0.057,0.107,0.207,0.5329999999999999,0.087,1996-97
21,Erick Dampier,IND,21.0,210.82,120.20188,Mississippi State,USA,1996,1,10,72,5.1,4.1,0.6,-2.0,0.107,0.21600000000000003,0.218,0.451,0.07400000000000001,1996-97
22,Erick Strickland,DAL,23.0,190.5,95.25432,Nebraska,USA,Undrafted,Undrafted,Undrafted,28,10.6,3.2,2.4,-6.4,0.032,0.11199999999999999,0.21600000000000003,0.51,0.161,1996-97
23,Ervin Johnson,DEN,29.0,210.82,111.13004,New Orleans,USA,1993,1,23,82,7.1,11.1,0.9,-5.9,0.10300000000000001,0.294,0.114,0.5429999999999999,0.042,1996-97
24,Duane Ferrell,IND,32.0,200.66,97.52228000000001,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,62,6.4,2.3,1.1,2.3,0.066,0.091,0.18100000000000002,0.521,0.1,1996-97
25,Duane Causwell,SAC,29.0,213.36,108.86208,Temple,USA,1990,1,18,46,2.6,2.8,0.4,-11.8,0.11199999999999999,0.14300000000000002,0.111,0.535,0.055999999999999994,1996-97
26,Doug West,MIN,30.0,198.12,99.79024,Villanova,USA,1989,2,38,68,7.8,2.2,1.7,-3.1,0.024,0.07,0.14300000000000002,0.505,0.092,1996-97
27,Doug Overton,PHI,27.0,190.5,86.18248,La Salle,USA,1991,2,40,61,3.6,1.1,1.7,-1.3,0.031,0.085,0.172,0.514,0.258,1996-97
28,Dell Demps,ORL,27.0,190.5,92.98635999999999,Pacific,USA,Undrafted,Undrafted,Undrafted,2,1.0,0.0,0.0,-53.7,0.0,0.0,0.185,0.258,0.0,1996-97
29,Dennis Scott,ORL,28.0,203.2,106.59411999999999,Georgia Tech,USA,1990,1,4,66,12.5,3.1,2.1,1.9,0.021,0.092,0.188,0.519,0.106,1996-97
30,Derek Fisher,LAL,22.0,185.42,90.7184,Arkansas-Little Rock,USA,1996,1,24,80,3.9,1.2,1.5,5.1,0.031,0.087,0.18600000000000003,0.491,0.223,1996-97
31,Derek Harper,DAL,35.0,193.04,93.439952,Illinois,USA,1983,1,11,75,10.0,1.8,4.3,-7.7,0.016,0.057,0.18100000000000002,0.516,0.252,1996-97
32,Derek Strong,ORL,29.0,205.74,108.86208,Xavier,USA,1990,2,47,82,8.5,6.3,0.9,-0.7,0.1,0.20800000000000002,0.182,0.513,0.064,1996-97
33,Derrick Alston,ATL,24.0,210.82,102.0582,Duquesne,USA,1994,2,33,2,0.0,2.0,0.0,-39.9,0.188,0.2,0.213,0.0,0.0,1996-97
34,Derrick Coleman,PHI,30.0,208.28,117.93392,Syracuse,USA,1990,1,1,57,18.1,10.1,3.4,-5.4,0.08,0.225,0.24,0.518,0.161,1996-97
35,Derrick McKey,IND,30.0,205.74,92.98635999999999,Alabama,USA,1987,1,9,50,8.0,4.8,2.7,-0.2,0.067,0.127,0.16699999999999998,0.462,0.154,1996-97
36,Detlef Schrempf,SEA,34.0,208.28,106.59411999999999,Washington,USA,1985,1,8,61,16.8,6.5,4.4,12.2,0.049,0.166,0.21100000000000002,0.5920000000000001,0.2,1996-97
37,Devin Gray,SAS,25.0,200.66,108.86208,Clemson,USA,1995,Undrafted,Undrafted,6,3.0,2.3,0.3,-42.1,0.113,0.25,0.263,0.319,0.071,1996-97
38,Dexter Boney,PHX,27.0,193.04,83.91452,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,8,2.4,0.8,0.0,-19.6,0.057999999999999996,0.071,0.231,0.42200000000000004,0.0,1996-97
39,Evric Gray,NJN,27.0,200.66,106.59411999999999,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,5,2.6,0.6,0.4,17.5,0.026000000000000002,0.049,0.192,0.38799999999999996,0.065,1996-97
40,Dickey Simpkins,CHI,25.0,205.74,112.490816,Providence,USA,1994,1,21,48,1.9,1.9,0.6,-0.9,0.099,0.151,0.163,0.41100000000000003,0.11199999999999999,1996-97
41,Dino Radja,BOS,30.0,210.82,102.0582,None,USA,1989,2,40,25,14.0,8.4,1.9,-3.3,0.057999999999999996,0.217,0.22699999999999998,0.47100000000000003,0.092,1996-97
42,Dominique Wilkins,SAS,37.0,203.2,104.32616,Georgia,USA,1982,1,3,63,18.2,6.4,1.9,-10.3,0.10099999999999999,0.154,0.297,0.517,0.11800000000000001,1996-97
43,Don MacLean,PHI,27.0,208.28,106.59411999999999,UCLA,USA,1992,1,19,37,10.9,3.8,1.0,-5.9,0.06,0.152,0.264,0.493,0.091,1996-97
44,Don Reid,DET,23.0,203.2,113.398,Georgetown,USA,1995,2,58,47,2.8,2.1,0.3,-1.5,0.092,0.159,0.154,0.523,0.053,1996-97
45,Donald Royal,CHH,31.0,203.2,98.88305600000001,Notre Dame,USA,1987,3,52,62,3.5,2.5,0.4,-4.6,0.073,0.13699999999999998,0.131,0.552,0.047,1996-97
46,Donald Whiteside,TOR,28.0,177.8,72.57472,Northern Illinois,USA,Undrafted,Undrafted,Undrafted,27,2.2,0.4,1.3,-12.4,0.009000000000000001,0.046,0.134,0.479,0.23399999999999999,1996-97
47,Donnie Boyce,ATL,23.0,195.58,88.904032,Colorado,USA,1995,2,42,22,2.5,0.7,0.6,-10.3,0.051,0.059000000000000004,0.244,0.37799999999999995,0.146,1996-97
48,Donny Marshall,CLE,24.0,200.66,104.32616,Connecticut,USA,1995,2,39,56,3.1,1.3,0.4,-8.7,0.045,0.11800000000000001,0.19,0.47600000000000003,0.085,1996-97
49,Dontonio Wingfield,POR,23.0,203.2,116.119552,Cincinnati,USA,1994,2,37,47,4.5,2.9,1.0,1.3,0.132,0.14400000000000002,0.204,0.501,0.14,1996-97
50,Donyell Marshall,GSW,24.0,205.74,104.32616,Connecticut,USA,1994,1,4,61,7.3,4.5,0.9,-8.6,0.098,0.21,0.222,0.478,0.08800000000000001,1996-97
51,Doug Christie,TOR,27.0,198.12,92.98635999999999,Pepperdine,USA,1992,1,17,81,14.5,5.3,3.9,-2.6,0.031,0.135,0.184,0.5429999999999999,0.165,1996-97
52,Dikembe Mutombo,ATL,31.0,218.44,113.398,Georgetown,Congo,1991,1,4,80,13.3,11.6,1.4,8.1,0.11199999999999999,0.256,0.179,0.584,0.066,1996-97
53,Dell Curry,CHH,33.0,195.58,92.98635999999999,Virginia Tech,USA,1986,1,15,68,14.8,3.1,1.7,1.6,0.024,0.098,0.226,0.562,0.10400000000000001,1996-97
54,Felton Spencer,GSW,29.0,213.36,127.00576000000001,Louisville,USA,1990,1,6,73,5.1,5.7,0.3,-1.2,0.124,0.205,0.128,0.524,0.02,1996-97
55,Frankie King,PHI,25.0,185.42,83.91452,Western Carolina,USA,1995,2,37,7,2.9,2.0,0.7,1.4,0.065,0.156,0.13,0.521,0.106,1996-97
56,Horacio Llamas,PHX,23.0,210.82,129.27372,Grand Canyon,USA,Undrafted,Undrafted,Undrafted,20,1.7,0.9,0.2,11.5,0.048,0.13699999999999998,0.19,0.539,0.055999999999999994,1996-97
57,Hot Rod Williams,PHX,34.0,210.82,111.13004,Tulane,USA,1985,2,45,68,8.0,8.3,1.5,4.3,0.099,0.19899999999999998,0.122,0.5379999999999999,0.067,1996-97
58,Howard Eisley,UTA,24.0,187.96,80.28578399999998,Boston College,USA,1994,2,30,82,4.5,1.0,2.4,2.5,0.024,0.067,0.192,0.53,0.29600000000000004,1996-97
59,Hubert Davis,TOR,27.0,195.58,83.007336,North Carolina,USA,1992,1,20,36,5.0,1.1,0.9,-3.3,0.02,0.054000000000000006,0.154,0.466,0.08800000000000001,1996-97
60,Ike Austin,MIA,27.0,208.28,122.46983999999999,Arizona State,USA,1991,2,48,82,9.7,5.8,1.2,2.9,0.09,0.218,0.22699999999999998,0.536,0.1,1996-97
61,Isaiah Rider,POR,26.0,195.58,97.52228000000001,Nevada-Las Vegas,USA,1993,1,5,76,16.1,4.0,2.6,3.4,0.045,0.09699999999999999,0.22899999999999998,0.557,0.129,1996-97
62,Ivano Newbill,ATL,26.0,208.28,111.13004,Georgia Tech,USA,1994,Undrafted,Undrafted,72,1.4,2.8,0.3,2.5,0.10400000000000001,0.18899999999999997,0.083,0.439,0.042,1996-97
63,Jack Haley,NJN,33.0,208.28,109.769264,UCLA,USA,1987,4,79,20,2.0,1.6,0.3,5.0,0.16699999999999998,0.284,0.22399999999999998,0.441,0.08800000000000001,1996-97
64,Jalen Rose,IND,24.0,203.2,95.25432,Michigan,USA,1994,1,13,66,7.3,1.8,2.3,1.3,0.027999999999999997,0.095,0.214,0.541,0.23399999999999999,1996-97
65,Jamal Mashburn,MIA,24.0,203.2,113.398,Kentucky,USA,1993,1,4,69,11.9,4.3,2.9,1.4,0.037000000000000005,0.121,0.207,0.48700000000000004,0.158,1996-97
66,James Robinson,MIN,26.0,187.96,81.64656,Alabama,USA,1993,1,21,69,8.3,1.6,1.8,-2.7,0.021,0.076,0.207,0.537,0.163,1996-97
67,James Scott,MIA,25.0,198.12,81.64656,St. John's (NY),USA,Undrafted,Undrafted,Undrafted,8,0.1,0.8,0.4,-14.7,0.036000000000000004,0.147,0.158,0.055999999999999994,0.136,1996-97
68,Jamie Feick,SAS,22.0,203.2,115.66596000000001,Michigan State,USA,1996,2,48,41,3.7,5.2,0.6,-12.2,0.133,0.253,0.15,0.405,0.065,1996-97
69,Jamie Watson,DAL,25.0,200.66,86.18248,South Carolina,USA,1994,2,47,23,3.4,2.0,1.4,-7.8,0.069,0.098,0.149,0.493,0.159,1996-97
70,Jaren Jackson,WAS,29.0,198.12,95.25432,Georgetown,USA,Undrafted,Undrafted,Undrafted,75,5.0,1.8,0.9,1.7,0.03,0.10400000000000001,0.16699999999999998,0.52,0.09,1996-97
71,Jason Caffey,CHI,24.0,203.2,116.119552,Alabama,USA,1995,1,20,75,7.3,4.0,1.2,9.0,0.114,0.134,0.184,0.574,0.094,1996-97
72,Jason Kidd,PHX,24.0,193.04,94.34713599999999,California,USA,1994,1,2,55,10.9,4.5,9.0,2.4,0.039,0.106,0.17,0.498,0.37,1996-97
73,Jason Sasser,DAL,23.0,200.66,102.0582,Texas Tech,USA,1996,2,41,8,2.4,1.0,0.3,-24.2,0.018000000000000002,0.14,0.172,0.413,0.067,1996-97
74,Jayson Williams,NJN,29.0,205.74,108.86208,St. John's (NY),USA,1990,1,21,41,13.4,13.5,1.2,-8.8,0.16699999999999998,0.248,0.209,0.44299999999999995,0.062,1996-97
75,Jeff Grayer,SAC,31.0,195.58,95.25432,Iowa State,USA,1988,1,13,25,3.6,1.5,1.0,0.7,0.077,0.067,0.154,0.496,0.124,1996-97
76,Jeff Hornacek,UTA,34.0,193.04,86.18248,Iowa State,USA,1986,2,46,82,14.5,2.9,4.4,14.4,0.031,0.08199999999999999,0.2,0.596,0.21,1996-97
77,Jeff McInnis,DEN,22.0,193.04,86.18248,North Carolina,USA,1996,2,37,13,5.0,0.5,1.4,-17.8,0.021,0.04,0.259,0.609,0.327,1996-97
78,Jermaine O'Neal,POR,18.0,210.82,102.511792,None,USA,1996,1,17,45,4.1,2.8,0.2,1.3,0.099,0.198,0.19899999999999998,0.494,0.03,1996-97
79,Horace Grant,ORL,31.0,208.28,111.13004,Clemson,USA,1987,1,10,67,12.6,9.0,2.4,1.1,0.094,0.19,0.161,0.546,0.11199999999999999,1996-97
80,Hersey Hawkins,SEA,30.0,190.5,86.18248,Bradley,USA,1988,1,6,82,13.9,3.9,3.0,10.3,0.04,0.098,0.17300000000000001,0.616,0.14300000000000002,1996-97
81,Herb Williams,NYK,39.0,210.82,117.93392,Ohio State,USA,1981,1,14,21,1.9,1.5,0.2,-10.8,0.055999999999999994,0.141,0.132,0.408,0.045,1996-97
82,Henry James,ATL,31.0,203.2,99.79024,St. Mary's (TX),USA,Undrafted,Undrafted,Undrafted,53,6.7,1.5,0.4,1.2,0.034,0.067,0.171,0.555,0.036000000000000004,1996-97
83,Fred Roberts,DAL,36.0,208.28,98.88305600000001,Brigham Young,USA,1982,2,27,12,1.8,0.8,0.0,-13.1,0.053,0.17800000000000002,0.265,0.52,0.0,1996-97
84,Gary Grant,MIA,32.0,190.5,83.91452,Michigan,USA,1988,1,15,28,3.9,1.4,1.6,3.2,0.028999999999999998,0.105,0.19399999999999998,0.46,0.215,1996-97
85,Gary Payton,SEA,28.0,193.04,86.18248,Oregon State,USA,1990,1,2,82,21.8,4.6,7.1,10.3,0.04,0.102,0.264,0.545,0.33,1996-97
86,Gary Trent,POR,22.0,203.2,113.398,Ohio,USA,1995,1,11,82,10.8,5.2,1.1,2.5,0.10099999999999999,0.16699999999999998,0.212,0.569,0.077,1996-97
87,Gaylon Nickerson,WAS,28.0,190.5,86.18248,Northwestern Oklahoma,USA,1994,2,34,4,3.8,1.3,0.3,8.9,0.03,0.111,0.174,0.49700000000000005,0.043,1996-97
88,George Lynch,VAN,26.0,203.2,103.418976,North Carolina,USA,1993,1,12,41,8.3,6.4,1.9,-8.2,0.106,0.185,0.175,0.512,0.125,1996-97
89,George McCloud,LAL,30.0,203.2,102.0582,Florida State,USA,1989,1,7,64,10.2,2.8,1.7,-2.7,0.027000000000000003,0.111,0.20600000000000002,0.527,0.125,1996-97
90,George Zidek,DEN,23.0,213.36,119.74828799999999,UCLA,USA,1995,1,22,52,2.8,1.7,0.3,-14.1,0.102,0.16899999999999998,0.195,0.5,0.064,1996-97
91,Gerald Wilkins,ORL,33.0,198.12,102.0582,Tennessee-Chattanooga,USA,1985,2,47,80,10.6,2.2,2.2,-5.8,0.031,0.064,0.203,0.503,0.14300000000000002,1996-97
92,Gheorghe Muresan,WAS,26.0,231.14,137.438376,None,USA,1993,2,30,73,10.6,6.6,0.4,6.9,0.098,0.217,0.185,0.618,0.024,1996-97
93,Glen Rice,CHH,30.0,203.2,99.79024,Michigan,USA,1989,1,4,79,26.8,4.0,2.0,3.2,0.025,0.087,0.272,0.605,0.08800000000000001,1996-97
94,Frank Brickowski,BOS,37.0,205.74,108.86208,Penn State,USA,1981,3,57,17,4.8,2.0,0.9,-22.4,0.026000000000000002,0.133,0.17300000000000001,0.512,0.11599999999999999,1996-97
95,Glenn Robinson,MIL,24.0,200.66,106.59411999999999,Purdue,USA,1994,1,1,80,21.1,6.3,3.1,-2.9,0.051,0.14400000000000002,0.278,0.528,0.146,1996-97
96,Grant Long,DET,31.0,205.74,112.490816,Eastern Michigan,USA,1988,2,33,65,5.0,3.4,0.6,4.0,0.096,0.15,0.154,0.523,0.057999999999999996,1996-97
97,Greg Anderson,SAS,33.0,208.28,113.398,Houston,USA,1987,1,23,82,3.9,5.5,0.4,-14.2,0.109,0.21899999999999997,0.106,0.531,0.033,1996-97
98,Greg Anthony,VAN,29.0,185.42,81.64656,Nevada-Las Vegas,USA,1991,1,12,65,9.5,2.8,6.3,-9.4,0.015,0.099,0.177,0.526,0.358,1996-97
99,Greg Dreiling,DAL,33.0,215.9,120.20188,Kansas,USA,1986,2,26,40,2.0,1.9,0.3,-8.0,0.059000000000000004,0.192,0.114,0.466,0.048,1996-97
100,Greg Foster,UTA,28.0,210.82,113.398,Texas-El Paso,USA,1990,2,35,79,3.5,2.4,0.4,-0.9,0.078,0.166,0.168,0.508,0.055,1996-97
101,Greg Graham,SEA,26.0,193.04,82.553744,Indiana,USA,1993,1,17,28,3.3,0.5,0.4,3.6,0.013000000000000001,0.063,0.245,0.47600000000000003,0.1,1996-97
102,Greg Minor,BOS,25.0,198.12,95.25432,Louisville,USA,1994,1,25,23,9.6,3.5,1.5,-2.1,0.057999999999999996,0.11,0.18899999999999997,0.519,0.10300000000000001,1996-97
103,Greg Ostertag,UTA,24.0,218.44,127.00576000000001,Kansas,USA,1995,1,28,77,7.3,7.3,0.4,15.9,0.133,0.24600000000000002,0.146,0.561,0.021,1996-97
104,Hakeem Olajuwon,HOU,34.0,213.36,115.66596000000001,Houston,Nigeria,1984,1,1,78,23.2,9.2,3.0,6.5,0.075,0.20600000000000002,0.308,0.5579999999999999,0.158,1996-97
105,Harvey Grant,WAS,31.0,205.74,102.0582,Oklahoma,USA,1988,1,12,78,4.1,3.3,0.9,1.7,0.045,0.136,0.102,0.47700000000000004,0.059000000000000004,1996-97
106,Haywoode Workman,IND,31.0,187.96,81.64656,Oral Roberts,USA,1989,2,49,4,5.5,1.8,2.8,-7.3,0.055999999999999994,0.045,0.139,0.5379999999999999,0.23399999999999999,1996-97
107,Grant Hill,DET,24.0,203.2,102.0582,Duke,USA,1994,1,3,80,21.4,9.0,7.3,6.9,0.049,0.23199999999999998,0.28300000000000003,0.556,0.35600000000000004,1996-97
108,Dee Brown,BOS,28.0,187.96,87.089664,Jacksonville,USA,1990,1,19,21,7.6,2.3,3.2,-7.5,0.015,0.095,0.163,0.455,0.20199999999999999,1996-97
109,Dean Garrett,MIN,30.0,210.82,113.398,Indiana,USA,1988,2,38,68,8.0,7.3,0.6,1.2,0.10800000000000001,0.247,0.135,0.603,0.035,1996-97
110,David Wood,MIL,32.0,205.74,104.32616,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,46,1.2,0.6,0.3,3.9,0.026000000000000002,0.128,0.1,0.621,0.085,1996-97
111,Ashraf Amaya,WAS,25.0,203.2,104.32616,Southern Illinois,USA,Undrafted,Undrafted,Undrafted,31,1.3,1.7,0.1,-8.6,0.127,0.289,0.184,0.382,0.038,1996-97
112,Avery Johnson,SAS,32.0,180.34,81.64656,Southern,USA,Undrafted,Undrafted,Undrafted,76,10.5,1.9,6.8,-8.6,0.015,0.057999999999999996,0.175,0.517,0.353,1996-97
113,B.J. Armstrong,GSW,29.0,187.96,79.3786,Iowa,USA,1989,1,18,49,7.9,1.5,2.6,-6.5,0.008,0.078,0.18600000000000003,0.5379999999999999,0.209,1996-97
114,Ben Davis,PHX,24.0,205.74,108.86208,Arizona,USA,1996,2,43,20,1.5,1.4,0.0,-0.4,0.132,0.192,0.156,0.41700000000000004,0.0,1996-97
115,Ben Wallace,WAS,22.0,205.74,108.86208,Virginia Union,USA,Undrafted,Undrafted,Undrafted,34,1.1,1.7,0.1,-3.5,0.132,0.18,0.165,0.34700000000000003,0.018000000000000002,1996-97
116,Benoit Benjamin,TOR,32.0,213.36,113.398,Creighton,USA,1985,1,3,4,3.3,2.3,0.3,-9.1,0.067,0.16699999999999998,0.157,0.47200000000000003,0.036000000000000004,1996-97
117,Bill Wennington,CHI,34.0,213.36,111.13004,St. John's (NY),USA,1985,1,16,61,4.6,2.1,0.7,7.7,0.068,0.11900000000000001,0.168,0.5379999999999999,0.079,1996-97
118,Billy Owens,SAC,28.0,205.74,102.0582,Syracuse,USA,1991,1,3,66,11.0,5.9,2.8,-3.0,0.077,0.152,0.18899999999999997,0.514,0.154,1996-97
119,Bimbo Coles,GSW,29.0,187.96,82.553744,Virginia Tech,USA,1990,2,40,51,6.1,2.3,2.9,-6.3,0.04,0.078,0.153,0.46299999999999997,0.204,1996-97
120,Bison Dele,CHI,28.0,210.82,117.93392,Arizona,USA,1991,1,10,9,7.0,3.7,1.3,0.9,0.11800000000000001,0.154,0.27699999999999997,0.45299999999999996,0.14,1996-97
121,Blue Edwards,VAN,31.0,193.04,103.418976,East Carolina,USA,1989,1,21,61,7.8,3.1,1.9,-11.1,0.039,0.11599999999999999,0.193,0.47200000000000003,0.14,1996-97
122,Bo Outlaw,LAC,26.0,203.2,95.25432,Houston,USA,Undrafted,Undrafted,Undrafted,82,7.6,5.5,1.9,4.0,0.092,0.152,0.129,0.602,0.113,1996-97
123,Bob Sura,CLE,24.0,195.58,90.7184,Florida State,USA,1995,1,17,82,9.2,3.8,4.8,1.0,0.042,0.134,0.19899999999999998,0.519,0.318,1996-97
124,Bobby Hurley,SAC,26.0,182.88,74.84268,Duke,USA,1993,1,7,49,2.9,0.8,3.0,-2.6,0.015,0.05,0.14,0.48200000000000004,0.336,1996-97
125,Bobby Phills,CLE,27.0,195.58,99.79024,Southern,USA,1991,2,45,69,12.6,3.6,3.4,3.3,0.034,0.10099999999999999,0.20800000000000002,0.514,0.17800000000000002,1996-97
126,Brad Lohaus,TOR,32.0,210.82,104.32616,Iowa,USA,1987,2,45,6,1.7,1.2,0.2,-38.4,0.023,0.171,0.153,0.33299999999999996,0.048,1996-97
127,Brent Barry,LAC,25.0,198.12,88.45044,Oregon State,USA,1995,1,15,59,7.5,1.9,2.6,4.1,0.03,0.08900000000000001,0.2,0.526,0.22399999999999998,1996-97
128,Brent Price,HOU,28.0,185.42,83.91452,Oklahoma,USA,1992,2,32,25,5.0,1.2,2.6,2.9,0.032,0.052000000000000005,0.17,0.551,0.249,1996-97
129,Brent Scott,IND,26.0,208.28,113.398,Rice,USA,Undrafted,Undrafted,Undrafted,16,1.2,0.6,0.2,4.9,0.073,0.109,0.18600000000000003,0.484,0.086,1996-97
130,Brett Szabo,BOS,29.0,210.82,104.32616,Augustana (SD),USA,Undrafted,Undrafted,Undrafted,70,2.2,2.4,0.2,-11.1,0.08900000000000001,0.196,0.11900000000000001,0.517,0.039,1996-97
131,Brian Evans,ORL,23.0,203.2,99.79024,Indiana,USA,1996,1,27,14,1.4,0.6,0.5,-12.5,0.017,0.121,0.168,0.455,0.19399999999999998,1996-97
132,Brian Grant,SAC,25.0,205.74,115.212368,Xavier,USA,1994,1,8,24,10.5,5.9,1.2,-7.7,0.098,0.185,0.213,0.511,0.078,1996-97
133,Brian Shaw,ORL,31.0,198.12,90.7184,California-Santa Barbara,USA,1988,1,24,77,7.2,2.5,4.1,-10.5,0.028999999999999998,0.095,0.184,0.478,0.297,1996-97
134,Arvydas Sabonis,POR,32.0,220.98,132.448864,None,Lithuania,1986,1,24,69,13.4,7.9,2.1,8.1,0.08199999999999999,0.282,0.24,0.5920000000000001,0.136,1996-97
135,Armen Gilliam,MIL,33.0,205.74,117.93392,Nevada-Las Vegas,USA,1987,1,2,80,8.6,6.2,0.7,-3.7,0.084,0.21899999999999997,0.16899999999999998,0.5429999999999999,0.042,1996-97
136,Antonio McDyess,DEN,22.0,205.74,99.79024,Alabama,USA,1995,1,2,74,18.3,7.3,1.4,-7.5,0.07,0.163,0.267,0.509,0.079,1996-97
137,Antonio Lang,CLE,25.0,203.2,104.32616,Duke,USA,1994,2,29,64,2.7,2.0,0.5,0.7,0.081,0.11800000000000001,0.136,0.467,0.068,1996-97
138,A.C. Green,DAL,33.0,205.74,102.0582,Oregon State,USA,1985,1,23,83,7.2,7.9,0.8,-8.0,0.1,0.207,0.11900000000000001,0.523,0.045,1996-97
139,Aaron McKie,DET,24.0,195.58,94.800728,Temple,USA,1994,1,17,83,5.2,2.7,1.9,5.2,0.031,0.129,0.147,0.524,0.163,1996-97
140,Aaron Williams,VAN,25.0,205.74,102.0582,Xavier,USA,Undrafted,Undrafted,Undrafted,33,6.2,4.3,0.5,-8.3,0.129,0.163,0.168,0.599,0.051,1996-97
141,Acie Earl,MIL,27.0,210.82,108.86208,Iowa,USA,1993,1,19,47,4.0,2.0,0.4,-6.4,0.079,0.14,0.22399999999999998,0.435,0.077,1996-97
142,Adam Keefe,UTA,27.0,205.74,109.315672,Stanford,USA,1992,1,10,62,3.8,3.5,0.5,6.7,0.11,0.177,0.126,0.5720000000000001,0.051,1996-97
143,Adrian Caldwell,PHI,30.0,203.2,120.20188,Lamar,USA,Undrafted,Undrafted,Undrafted,45,2.2,3.7,0.3,-6.2,0.10800000000000001,0.20800000000000002,0.105,0.44299999999999995,0.03,1996-97
144,Alan Henderson,ATL,24.0,205.74,106.59411999999999,Indiana,USA,1995,1,16,30,6.6,3.9,0.8,-9.7,0.114,0.184,0.20199999999999999,0.51,0.078,1996-97
