"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","list-view-header","he-lazy-image src 2"
"https://www.hepsiemlak.com/mugla-milas-gulluk-kiralik/daire/109419-279","31","17.500","16-04-2024","Kiralık Daire","2 +
                        1","125 m²","5
                      Yaşında","En Üst Kat","Milas, Güllük Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/8/5/8/2/2/4/1709225881421-42285806.jpg","Milas Güllük'te Kiralık Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/118251-135","29","320.000","16-04-2024","Kiralık Villa","4 +
                        2","280 m²","12
                      Yaşında","","Bodrum, Gündoğan Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/4/5/8/1/0/4/1711858823377-40185447.jpg","Bodrum Gundogan Sezonluk Kıralık Ozel Havuzlu Panoramık Denız Manzaralı 4+2 Vılla",""
"https://www.hepsiemlak.com/mugla-ortaca-kemaliye-kiralik/daire/82884-1318","26","25.000","16-04-2024","Kiralık Daire","5 +
                        1","201 m²","10
                      Yaşında","Ara Kat","Ortaca, Kemaliye Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/6/8/3/3/2/4/1710160894-7007442-42338619.jpeg","Ortaca/kemaliye Mah. 5+1 Dublexs Eşyalı Kiralık Ev","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/villa/131129-235","33","50.000","16-04-2024","Kiralık Villa","3 +
                        1","150 m²","8
                      Yaşında","","Bodrum, Bitez Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/1/2/6/3/2/4/9eb2c41b-84e3-49c7-8651-d8dbd9dbfead.jpg","Kiralık Bitez Merkezi Konumlu Havuzlu Sitede Eşyalı 3+1 Villa",""
"https://www.hepsiemlak.com/mugla-dalaman-karacali-kiralik/villa/139965-61","38","30.000","16-04-2024","Kiralık Villa","3 +
                        1","145 m²","8
                      Yaşında","","Dalaman, Karaçalı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/dost-emlak-139965","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/8/6/0/0/2/4/d5394f08-3709-4074-949c-74319a0dc1a6.jpg","Dost Emlaktan Kiralık Bahçeli Havuzlu Site İçinde Eşyalı 3+1 Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/6/9/9/3/1/fcc5c07a-43a9-42c0-86df-1bdaf2d54ae9.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/5554-4927","19","35.000","16-04-2024","Kiralık Villa","2 +
                        1","180 m²","17
                      Yaşında","","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/usta-emlak-musavirligi-5554/erdinc-usta-5554","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/6/4/4/2/4/04e40b7c-3c1d-4f4a-ba02-98341056bf9c.jpg","Gündoğan Da Deniz Manzaralı Ve Plajlı Sitede Yıllık Kiralık","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/4/5/5/5/0/0/41f2ae76-a5e1-4ed2-a17d-77951a420a51.jpeg"
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/daire/66325-3143","12","30.000","16-04-2024","Kiralık Daire","2 +
                        1","110 m²","22
                      Yaşında","2. Kat","Bodrum, Bitez Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/minev-gayrimenkul-66325","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/4/2/9/4/2/4/1713249352-6200352-42492458.jpeg","Bitez Havuzlu Sitede Kiralık Manzaralı Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/2/3/6/6/0/c7ef2c8a-f581-4834-a8e8-7944a8bb30e2.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-golkoy-kiralik/residence/34401-11810","12","1.600.000","16-04-2024","Kiralık Residence","2 +
                        1","185 m²","17
                      Yaşında","2. Kat","Bodrum, Gölköy Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/net-istanbul-luxury-34401","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/9/3/2/9/4/2/4/dea9ae57-e389-450d-80bd-3bdc5e08d9b1.jpg","Bodrum Cennetköy De Lüks Otel İçinde Kiralık Rezidans","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/0/4/4/3/0/838f4020-84c4-4dc4-8dda-1183370e1398.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-yenikoy-kiralik/villa/131129-225","25","30.000","16-04-2024","Kiralık Villa","2 +
                        1","135 m²","15
                      Yaşında","","Bodrum, Yeniköy Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/4/6/0/3/2/4/1572cbf2-a5c3-4760-bba0-bb26729dfafb.jpg","Kiralık Bodrum Oasise Yakın Eşyalı 2+1 Bahçeli Dubleks Villa",""
"https://www.hepsiemlak.com/mugla-bodrum-kucukbuk-kiralik/daire/5554-4906","17","275.000","16-04-2024","Kiralık Daire","2 +
                        1","170 m²","3
                      Yaşında","Bahçe Katı","Bodrum, Küçükbük Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/usta-emlak-musavirligi-5554/erdinc-usta-5554","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/4/3/8/2/2/4/e43edb15-0c86-416b-b009-eb3fa2e5d42f.jpg","Ustasından Harika Taş Evde Kendine Ait Havuzuyla Güvenle Tatil...","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/4/5/5/5/0/0/41f2ae76-a5e1-4ed2-a17d-77951a420a51.jpeg"
"https://www.hepsiemlak.com/mugla-bodrum-eskicesme-kiralik/daire/118251-208","16","20.000","16-04-2024","Kiralık Daire","1 +
                        1","50 m²","18
                      Yaşında","2. Kat","Bodrum, Eskiçeşme Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/9/6/3/1/2/4/1706760426861-42136927.jpg","Bodrum Merkez Marina'ya 50 Metre Yürüme Mesafesinde Eşyalı Kiralik 1+1 2+1 Daireler",""
"https://www.hepsiemlak.com/mugla-ortaca-cayli-kiralik/daire/82884-1243","15","15.000","16-04-2024","Kiralık Daire","2 +
                        1","140 m²","Sıfır Bina","1. Kat","Ortaca, Çaylı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/1/4/8/0/1/2/4/1706262692-719621-42108414.jpeg","Ortaca Çaylı Mah. 2+1 Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gumusluk-kiralik/daire/28765-5823","35","20.000","16-04-2024","Kiralık Daire","3 +
                        1","160 m²","5
                      Yaşında","1. Kat","Bodrum, Gümüşlük Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-artemis-28765","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/6/4/1/9/9/3/8e2bfd3e-0517-4c54-9e19-32a07f27e494.jpeg","Bodrum Gümüşlük' De 3+1 160 M2 Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/6/7/8/2/0/58296d53-d3b6-485e-b2a1-6c0fc7f041b5.jpg"
"https://www.hepsiemlak.com/mugla-mentese-kafaca-kiralik/mustakil-ev/139386-226","10","17.500","16-04-2024","Kiralık Müstakil Ev","4 +
                        1","155 m²","26
                      Yaşında","","Menteşe, Kafaca Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/9/8/7/4/2/4/1712689626467-42478971.jpg","Muğla Kafaca Merkezde Kiralık Bahçeli Müstakil Ev","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/villa/5554-4915","15","150.000","16-04-2024","Kiralık Villa","3 +
                        1","195 m²","17
                      Yaşında","","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/usta-emlak-musavirligi-5554/erdinc-usta-5554","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/4/5/5/5/0/0/41f2ae76-a5e1-4ed2-a17d-77951a420a51.jpeg","Full Gündoğan Manzaralı 3+1 Açık Havuzlu Kiralık Keyfi...","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/5/5/5/0/0/c00795d3-1d20-473c-bd82-1089382f9d08.jpg"
"https://www.hepsiemlak.com/mugla-ortaca-karaburun-kiralik/daire/82884-1225","14","18.000","16-04-2024","Kiralık Daire","2 +
                        1","76 m²","Sıfır Bina","Yüksek Giriş","Ortaca, Karaburun Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg","Ortaca Karaburun Mah. Full Eşyalı Havuzlu 2+1 Kiralık Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-muskebi-kiralik/daire/131129-102","38","40.000","16-04-2024","Kiralık Daire","3 +
                        1","120 m²","2
                      Yaşında","2. Kat","Bodrum, Müskebi Mahallesi","","","Bodrum Ortakent Kiralık 3+1 Modern Ve Temiz Eşyalı 2. Kat Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/daire/5554-4907","15","60.000","16-04-2024","Kiralık Daire","2 +
                        1","150 m²","15
                      Yaşında","Bahçe Katı","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/usta-emlak-musavirligi-5554/erdinc-usta-5554","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/7/3/9/2/2/4/13223f0b-bf4a-4fcb-bc98-378434c4d3b5.jpg","Harika Huzur Dolu Bir Tatil Sizi Bekliyor. Hem De Çok Uygun Fiyata !!!","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/4/5/5/5/0/0/41f2ae76-a5e1-4ed2-a17d-77951a420a51.jpeg"
"https://www.hepsiemlak.com/mugla-ula-gokova-kiralik/daire/139386-183","20","18.500","16-04-2024","Kiralık Daire","2 +
                        1","85 m²","20
                      Yaşında","3. Kat","Ula, Gökova Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/7/0/7/2/2/4/d3a2b59d-eac1-425b-b2b3-faebe62bf0e0.jpg","Muğla Ula Gökova Mh. 2+1 Arakat Daire (akyaka 5km)","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-ortaca-cayli-kiralik/daire/82884-1346","12","11.500","16-04-2024","Kiralık Daire","2 +
                        1","86 m²","Sıfır Bina","1. Kat","Ortaca, Çaylı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/elit-emlak-82884","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/9/0/4/4/2/4/1711955327-8378072-42440970.jpeg","Ortaca/çaylı Mah. 2+1 Kiralık Havuzu Sıfır Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/2/8/0/b0b1033e-def7-4834-b768-b78c05536ebb.jpg"
"https://www.hepsiemlak.com/mugla-ortaca-kemaliye-kiralik/villa/137618-79","40","10.000","16-04-2024","Kiralık Villa","3 +
                        1","150 m²","1
                      Yaşında","Bahçe Katı","Ortaca, Kemaliye Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/dalyan-ege-emlak-137618","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/1/2/9/4/2/4/dd97362a-21e3-426a-8acc-9e024dfa1cd3.jpeg","Dalyan'a Yakın Kiralık Villa-Villa Günay","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/1/6/7/3/1/67903777-7fa2-42e7-9bd6-f3b45164bb45.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-gundogan-kiralik/daire/136941-223","20","30.000","15-04-2024","Kiralık Daire","2 +
                        1","100 m²","10
                      Yaşında","2. Kat","Bodrum, Gündoğan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/turyap-yalikavak-136941","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/3/9/8/4/2/4/1713180096-5188088-42489306.jpeg","Bodrum Gündoğan’da Yıllık Kiralık 2+1 Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/4/9/6/3/1/4a151971-ef03-4e7d-bd0e-511f044c68eb.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-yalikavak-kiralik/villa/83214-574","40","180.000","15-04-2024","Kiralık Villa","5 +
                        2","440 m²","11
                      Yaşında","Bahçe Katı","Bodrum, Yalıkavak Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/5/4/2/4/2/4/e22f30ed-3aba-48a9-90c6-40d373216566.jpeg","Yalıkavak Küdür'de Deniz Ve Marina Manzaralı 5+2 Tripleks Villa",""
"https://www.hepsiemlak.com/mugla-bodrum-umurca-kiralik/mustakil-ev/143801-21","20","36.000","15-04-2024","Kiralık Müstakil Ev","3 +
                        1","300 m²","15
                      Yaşında","","Bodrum, Umurca Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/roses-homes-143801/gul-pekel-4051493","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/6/2/1/4/2/4/8c9a4017-dfc3-49d4-a677-5d802708544e.jpg","Bodrum Umurca Müstakil Bahçeli Dubleks Ev","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/3/9/4/1/5/0/4/73634616-e295-45eb-9d75-be5d3b113ab2.jpg"
"https://www.hepsiemlak.com/mugla-koycegiz-gulpinar-kiralik/mustakil-ev/142594-9","44","20.000","15-04-2024","Kiralık Müstakil Ev","4 +
                        1","160 m²","10
                      Yaşında","","Köyceğiz, Gülpınar Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/ata-gayrimenkul-142594","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/8/4/1/4/2/4/7414481e-49da-4af8-8fe0-e7b2d7477f74.jpg","Ata Gayrimenkul'den Kiralık İki Katlı Dublex Müstakil Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/9/5/2/4/1/b7f40788-c82d-418c-9d42-c259ba9ad5aa.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-karacali-kiralik/daire/133160-43","26","20.000","15-04-2024","Kiralık Daire","3 +
                        1","145 m²","3
                      Yaşında","En Üst Kat","Dalaman, Karaçalı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/gho-likya-gayrimenkul-133160","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/0/0/0/4/2/4/6789251c-929c-45f8-81a6-50bdc26a5b7d.jpg","Gho'dan Karaçalı Mah'de Havuzlu Sitede 4+1 Eşyalı Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/6/1/3/3/1/ba83d99f-9792-4b2f-be43-b5362b1a87d7.jpg"
"https://www.hepsiemlak.com/mugla-milas-dorttepe-kiralik/daire/141026-6","15","15.000","15-04-2024","Kiralık Daire","1 +
                        1","65 m²","4
                      Yaşında","Bahçe Katı","Milas, Dörttepe Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/8/3/0/4/2/4/1711220235-419929-42403800.jpeg","Eşinwood Sitesinde Kiralık Bahçe Katı",""
"https://www.hepsiemlak.com/mugla-koycegiz-yangi-kiralik/villa/128779-314","38","42.000","15-04-2024","Kiralık Villa","2 +
                        1","250 m²","Sıfır Bina","","Köyceğiz, Yangı Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/merlin-gayrimenkul-128779","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/6/1/2/3/2/4/1a6a14a9-04b5-4f41-b588-c4f23499d034.jpg","Merlin'den Emsalsiz 600 M² Arsa İçinde 2+1 Kiralık Lüks Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/7/7/8/2/1/771f5dc4-00da-4403-909c-f86bbff2a883.jpg"
"https://www.hepsiemlak.com/mugla-dalaman-sogutluyurt-kiralik/daire/141974-15","19","14.000","15-04-2024","Kiralık Daire","2 +
                        1","95 m²","3
                      Yaşında","Yüksek Giriş","Dalaman, Söğütlüyurt Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/gizem-emlak-141974","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/3/0/8/2/2/4/1709143587028-42280392.jpg","Doğa Park Sitesinde Uzun Dönem Eşyalı Kiralık 2+1 Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/7/9/1/4/1/71e68cf5-adb7-4556-a017-6d28d2b20616.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-bitez-kiralik/daire/138060-43","26","55.000","15-04-2024","Kiralık Daire","2 +
                        1","110 m²","12
                      Yaşında","Giriş Katı","Bodrum, Bitez Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bodrumda-firsat-gayrimenkul-danismanligi-138060","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/2/2/5/2/2/4/7ff86ec1-fa9e-43a0-938f-2ce5008a8444.jpg","Bodrum Bitez Dönemsel Kiralık Deniz Manzaralı Modern Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/0/6/0/8/3/1/02ed33ca-4255-468e-aef6-9b6e3c13cabe.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-bahcelievler-kiralik/daire/25898-3381","36","37.500","15-04-2024","Kiralık Daire","2 +
                        1","85 m²","Sıfır Bina","2. Kat","Bodrum, Bahçelievler Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bodrum-gayrimenkul-yatirim-danismanligi-25898","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/9/9/9/1/1/4/4237ad53-023c-41ec-a914-07f548eaa0b4.jpg","T.Reis Bahçelievler'de Özel Plajlı Sitede 2+1 Eşyalı Sıfır Üst Kat Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/8/5/2/0/b1c96270-2753-4ab5-9bbc-60974f274d59.jpg"
"https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-kiralik/daire/139386-125","27","27.000","16-04-2024","Kiralık Daire","3 +
                        1","170 m²","20
                      Yaşında","1. Kat","Menteşe, Emirbeyazıt Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/yildiz-emlak-139386","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/3/3/1/9/1/4/07dd4dcb-cbe5-4647-95b7-2c8bf4062067.jpg","Muğla Emirbeyazıt Mh Kiralık Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/8/3/9/3/1/155f3c54-6f72-4d78-b46c-9f4f9abbd367.jpg"
"https://www.hepsiemlak.com/mugla-marmaris-armutalan-kiralik/villa/26388-5113","28","75.000","15-04-2024","Kiralık Villa","3 +
                        1","280 m²","20
                      Yaşında","","Marmaris, Armutalan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/tt-emlak-26388","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/0/9/8/4/2/4/1713177644-127857-42489067.jpeg","Tt Emlaktan Armutalan’da Özel Havuzlu Kiralık Villa","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/8/3/6/2/0/467e8e89-bfc6-4c1c-acc4-e061f3a15164.jpg"
"https://www.hepsiemlak.com/mugla-bodrum-geris-kiralik/mustakil-ev/129219-183","28","75.000","15-04-2024","Kiralık Müstakil Ev","4 +
                        1","160 m²","11
                      Yaşında","","Bodrum, Geriş Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/bosel-gayrimenkul-129219","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/8/2/5/4/2/4/1712140235-13137-42452888.jpeg","Yalıkavak Geriş De 4+1 Triblex Kiralık Ev","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/1/2/9/2/1/8841f958-0785-48c9-bcb2-9f538e39e8e5.jpg"
"https://www.hepsiemlak.com/mugla-milas-ismet-pasa-kiralik/daire/4884-4296","28","22.500","15-04-2024","Kiralık Daire","3 +
                        1","145 m²","Sıfır Bina","5. Kat","Milas, İsmet Paşa Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/milas-gayrimenkul-4884","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/6/3/0/4/2/4/66d15b19-f4ef-4336-a942-293c3a113880.jpg","Irmak Rezidans'ta Kiralık 3+1 Sıfır Daire","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/8/8/4/0/0/32a6afa6-1339-471e-b9a1-497e0eecad4b.jpg"
"https://www.hepsiemlak.com/mugla-mentese-ortakoy-kiralik/daire/108994-311","24","17.500","15-04-2024","Kiralık Daire","1 +
                        1","75 m²","Sıfır Bina","1. Kat","Menteşe, Ortaköy Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/5/0/2/1/2/4/1706511629455-42120564.jpg","Ortaköyde Kiralık Geniş 1+1daire",""
"https://www.hepsiemlak.com/mugla-bodrum-eskicesme-kiralik/residence/66406-2446","27","40.000","15-04-2024","Kiralık Residence","2 +
                        1","95 m²","1
                      Yaşında","2. Kat","Bodrum, Eskiçeşme Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/2/4/7/1/2/4/1707392344113-42174274.jpg","Bodrum Eskiçeşmede Kiralik  Sıfır Mobiyalı 2+1 Rezidans Daire",""
"https://www.hepsiemlak.com/mugla-bodrum-cirkan-kiralik/daire/28765-6344","26","35.000","15-04-2024","Kiralık Daire","3 +
                        1","130 m²","12
                      Yaşında","1. Kat","Bodrum, Çırkan Mahallesi","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-artemis-28765","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/6/7/8/2/0/58296d53-d3b6-485e-b2a1-6c0fc7f041b5.jpg","Bodrum Konacık 3+1 Cift Banyo Sitede Havuzlu Kiralık Daire",""
