"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","list-view-header","list-view-location","celly 4","he-lazy-image src","img-wrp href","he-lazy-image src 2"
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/142618-42","7","13.000","02-04-2024","Kiralık Daire","1 +
                        1","55 m²","5
                      Yaşında","Goldia Yapı'dan Full Eşyalı Kiralık 1+1","Buca, Adatepe Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/7/0/3/4/2/4/ee9aeff7-5df7-499e-a5d2-68e0bfeebdbe.jpg","",""
"https://www.hepsiemlak.com/izmir-buca-guven-kiralik/daire/102557-396","15","10.000","15-04-2024","Kiralık Daire","2 +
                        1","110 m²","26
                      Yaşında","Şirinyer Güven Mahallesi Yüksek Giriş 2+1 Bahçeli Kiralık Daire","Buca, Güven Mahallesi","Yüksek Giriş","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/0/2/9/0/2/4/120c1140-d6da-4509-8de5-7c76c03337c4.jpeg","https://www.hepsiemlak.com/emlak-ofisi/emirhan-insaat-emlak-102557","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/5/5/2/0/1/f617f424-4199-4e1b-9e6e-437c7d8252ae.jpg"
"https://www.hepsiemlak.com/izmir-cigli-balatcik-kiralik/daire/31745-20787","34","14.990","02-04-2024","Kiralık Daire","1 +
                        1","74 m²","2
                      Yaşında","Site Uzmanı Aytuğ Türkeköle Myway Wins Blue'da 1+1 Havuz Cephe","Çiğli, Balatçık Mahallesi","5. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/3/4/3/2/2/4/b5f522c2-c6d1-440b-9ca0-2f9bb0a57758.jpg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-5-31745","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/4/7/1/3/0/6718b45f-7eab-4495-a6ae-e40f674f4b91.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-menderes-kiralik/daire/90115-462","29","13.000","12-03-2024","Kiralık Daire","3 +
                        1","120 m²","26
                      Yaşında","Gaziemir'de Uygun Fiyata Kiralık 3+1 Daire","Gaziemir, Menderes Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/2/6/4/3/2/4/d9e5c871-8c9b-4940-a07c-58bb5eeb903b.jpeg","https://www.hepsiemlak.com/emlak-ofisi/turyap-gaziemir-temsilciligi-90115","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/1/1/0/9/0/8053d30c-6918-4c8f-a821-1b141378aad0.jpg"
"https://www.hepsiemlak.com/izmir-gaziemir-menderes-kiralik/daire/105870-834","19","14.000","06-03-2024","Kiralık Daire","3 +
                        1","140 m²","14
                      Yaşında","Çınar Emlak'tan Gaziemir Sarnıç'ta Kiralık 3+1 Daire","Gaziemir, Menderes Mahallesi","Giriş Katı","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/9/2/7/0/2/4/421709fa-145d-42d1-ae70-b5da992c682a.jpg","",""
"https://www.hepsiemlak.com/izmir-balcova-fevzi-cakmak-kiralik/daire/110036-538","19","30.000","23-03-2024","Kiralık Daire","3 +
                        1","130 m²","30
                      Yaşında","Ünüvar Emlaktan Ekonomi Ünıv.Yakını 3+1 Full Eşyalı Kiralık Daire...","Balçova, Fevzi Çakmak Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/8/9/4/4/1/4/1694529373502-41449854.jpg","",""
"https://www.hepsiemlak.com/izmir-bornova-kazimdirik-kiralik/daire/140076-137","14","20.000","17-02-2024","Kiralık Daire","1 +
                        1","43 m²","Sıfır Bina","Park Yaşam Bornova Kiralık 1+1 Daire","Bornova, Kazımdirik Mahallesi","11. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/7/0/2/2/2/4/1708163199-819593-42220720.jpeg","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-expertiz-gayrimenkul-140076","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/7/0/0/4/1/cdac6cac-0ea1-4338-8b03-091976337640.jpg"
"https://www.hepsiemlak.com/izmir-konak-akdeniz-kiralik/daire/37033-3503","14","35.000","28-02-2024","Kiralık Daire","2 +
                        1","72 m²","1
                      Yaşında","Harika Lokasyon Alsancağın En Prestijli  Glori Şen Residansında  2+1 Möbilyalı Otoparklı Daire","Konak, Akdeniz Mahallesi","6. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/0/4/0/1/2/4/1706179244045-42104001.jpg","",""
"https://www.hepsiemlak.com/izmir-karsiyaka-cumhuriyet-kiralik/daire/72759-2935","14","9.500","07-04-2024","Kiralık Daire","2 +
                        1","80 m²","40
                      Yaşında","Cumhuriyet 2+1 3 Kat, Klâsik Daire","Karşıyaka, Cumhuriyet Mahallesi","3. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/7/8/5/2/2/4/3f742a7f-fd56-4148-9ec7-89676896c971.jpg","",""
"https://www.hepsiemlak.com/izmir-karsiyaka-donanmaci-kiralik/daire/21915-11181","23","17.000","12-03-2024","Kiralık Daire","3 +
                        1","125 m²","31
                      Yaşında","Karşıyaka Donanmacı Sahile Yakın Kiralık 3+1 Daire","Karşıyaka, Donanmacı Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/0/0/4/3/2/4/77be0890-3fa1-4390-b868-02c48e678f16.jpeg","https://www.hepsiemlak.com/emlak-ofisi/fctu-21915","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/1/9/1/2/0/975f10a4-a45a-403a-a078-04bc3a2f88c3.jpg"
"https://www.hepsiemlak.com/izmir-buca-yildiz-kiralik/daire/109159-114","14","9.000","09-04-2024","Kiralık Daire","1 +
                        1","55 m²","11
                      Yaşında","Safir'den Doğalgazlı Uygun Kiralik 1+1 Daire","Buca, Yıldız Mahallesi","Yüksek Giriş","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/2/4/4/4/2/4/9c4777a7-a2a9-4b77-8848-7e2b17907518.jpeg","https://www.hepsiemlak.com/emlak-ofisi/safir-gayrimenkul-ve-yatirim-danismanligi-109159","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/5/1/9/0/1/7c84690d-8342-4679-a6d5-900f4d139a48.jpg"
"https://www.hepsiemlak.com/izmir-dikili-kabakum-kiralik/villa/84782-755","1","48.000","09-04-2024","Kiralık Villa","3 +
                        1","220 m²","20
                      Yaşında","Dikili Kabakumda Kiralık Villa","Dikili, Kabakum Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/9/9/2/1/1/4/1689699391941-41129952.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-cumhuriyet-kiralik/villa/83337-1521","35","950.000","09-04-2024","Kiralık Villa","4 +
                        1","300 m²","5
                      Yaşında","Sezgin Kartal...Çeşme Dalyan Denize Yakın Kiralık Modern Villa","Çeşme, Cumhuriyet Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/8/6/7/8/0/4/271fdd74-addf-4e4d-ae9c-d08b34ae08b4.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-boyalik-kiralik/villa/93598-651","50","450.000","05-04-2024","Kiralık Villa","3 +
                        1","150 m²","15
                      Yaşında","Alaçatı Gayrimenkul'den Boyalık'ta (7800 Yakını)  Yaz  Sezonu İçin  Kiralık Villalar.","Çeşme, Boyalık Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/3/1/8/5/6/3/32f2c553-a23f-40a5-a619-581bb19c8465.jpg","https://www.hepsiemlak.com/emlak-ofisi/alacati-gayrimenkul-93598","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/8/9/5/3/9/0/db8531c2-d7c0-412e-990b-32dad2d6b1dd.jpg"
"https://www.hepsiemlak.com/izmir-balcova-fevzi-cakmak-kiralik/daire/10374-2220","43","27.500","18-03-2024","Kiralık Daire","3 +
                        1","150 m²","20
                      Yaşında","Kolej Ofis Gay.Ekonomi Üni.Çook Yakın Full Eşyalı Otoparklı Kiralık Daire","Balçova, Fevzi Çakmak Mahallesi","4. Kat","","",""
"https://www.hepsiemlak.com/izmir-konak-goztepe-kiralik/daire/48991-2311","31","25.500","08-04-2024","Kiralık Daire","3 +
                        1","135 m²","21
                      Yaşında","İnönü Caddesi Amerikan Ve Türk Koleji Yakını 3+1 Kiralık Daire","Konak, Göztepe Mahallesi","2. Kat","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/9/9/8/4/0/646a2beb-4fda-477a-acb9-2162ded39307.jpg","https://www.hepsiemlak.com/emlak-ofisi/epa-izmir-hatay-temsilciligi-48991",""
"https://www.hepsiemlak.com/izmir-seferihisar-tepecik-kiralik/mustakil-ev/97582-297","13","10.000","20-03-2024","Kiralık Müstakil Ev","Stüdyo","75 m²","5
                      Yaşında","Seferihisar Akarcada Kiralık 1+0 Eşyalı","Seferihisar, Tepecik Mahallesi","","","",""
"https://www.hepsiemlak.com/izmir-buca-ataturk-kiralik/daire/57104-1695","9","15.000","28-03-2024","Kiralık Daire","2 +
                        1","110 m²","20
                      Yaşında","Buca Atatürk Mah Kadın Doğum Yanı Özcan Emlaktan Eşyalı Kiralık Daire 2+1","Buca, Atatürk Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/6/7/2/4/2/4/dcaddb58-bde0-482b-85a3-c9f614794e4e.jpg","",""
"https://www.hepsiemlak.com/izmir-foca-yenibagarasi-kiralik/daire/121980-979","25","15.000","05-02-2024","Kiralık Daire","2 +
                        1","120 m²","1
                      Yaşında","Ata35 Emlak'tan Eskifoça Yenibağarasında Emsalsiz Büyüklükte Kapalı Mutfak Sıfır Lüks Daire","Foça, Yenibağarası Mahallesi","1. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/6/1/9/2/1/4/c75b003a-8d52-4f68-9e67-719ad66c6f5d.jpg","",""
"https://www.hepsiemlak.com/izmir-kemalpasa-armutlu-hurriyet-kiralik/mustakil-ev/7457-83","7","14.500","31-03-2024","Kiralık Müstakil Ev","1 +
                        1","380 m²","10
                      Yaşında","Kemalpaşa Armutlu Müstakil Ev + Depo 350 M2","Kemalpaşa, Armutlu Hürriyet Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/0/6/8/2/1/4/1692014260-746433-41286012.jpeg","",""
"https://www.hepsiemlak.com/izmir-balcova-egitim-kiralik/daire/133137-416","17","14.000","11-03-2024","Kiralık Daire","3 +
                        1","120 m²","40
                      Yaşında","Eğitim Mahallesinde Ata Cd Yakını 3+1 Arakat Klasik Daire","Balçova, Eğitim Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/2/7/3/3/2/4/616b23f4-1882-4a63-8754-2163019bda8c.jpg","",""
"https://www.hepsiemlak.com/izmir-karsiyaka-bahariye-kiralik/daire/91927-533","38","19.000","28-02-2024","Kiralık Daire","4 +
                        1","170 m²","25
                      Yaşında","Karşıyaka Bahriye Üçok Da 4+1 4.Kat 160m2 İş Yer Olmayada Uygun Doğalgazlı Çift Cepheli Büyük Daire","Karşıyaka, Bahariye Mahallesi","4. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/2/0/6/2/2/4/1708792379099-42260232.jpg","",""
"https://www.hepsiemlak.com/izmir-balcova-koruturk-kiralik/daire/78202-2565","60","45.000","02-03-2024","Kiralık Daire","5 +
                        1","250 m²","28
                      Yaşında","Balçova'da Deniz Manzaralı Eşyalı 5+1 Dubleks Kiralık Daire","Balçova, Korutürk Mahallesi","Ara Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/1/4/9/1/2/4/2d04cbb9-b8d9-4bc1-b5fb-622debe5cca1.jpg","",""
"https://www.hepsiemlak.com/izmir-buca-karacaagac-kiralik/mustakil-ev/15356-5345","57","20.000","10-03-2024","Kiralık Müstakil Ev","2 +
                        1","535 m²","1
                      Yaşında","Turyap Buca'dan Evrakları Mevcut Bahçeli Müstakil Ev","Buca, Karacaağaç Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/0/3/0/3/1/4/71d6758e-1911-485f-88ca-ee048178519d.jpeg","https://www.hepsiemlak.com/emlak-ofisi/turyap-izmir-buca-temsilciligi-15356","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/5/3/5/1/0/dd1d6e78-ba67-4d2e-9977-287eca55e573.jpg"
"https://www.hepsiemlak.com/izmir-menderes-degirmendere-kiralik/villa/128479-2633","38","50.000","14-03-2024","Kiralık Villa","5 +
                        1","5.500 m²","10
                      Yaşında","Değirmenderede Doğanın İçinde 4500 M2 Arsa İçinde 5+1 Villa","Menderes, Değirmendere Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/8/0/5/9/0/4/6d67829e-5108-4088-aef1-7981594c2146.jpg","https://www.hepsiemlak.com/emlak-ofisi/ogretmen-emlak-menderes-128479","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/9/7/4/8/2/1/8629e5a1-155b-41e6-a981-8021ed8726ba.jpg"
"https://www.hepsiemlak.com/izmir-cesme-ismet-inonu-kiralik/villa/73574-621","35","600.000","25-02-2024","Kiralık Villa","3 +
                        1","160 m²","1
                      Yaşında","Boyalık Denize Yakın Müstakil Havuzlu Yeni Villa Yaz Dönemi","Çeşme, İsmet İnönü Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/6/3/9/2/5/3/18cd2a55-7046-4660-894a-bafd51430dac.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-reisdere-kiralik/villa/104662-405","18","500.000","14-03-2024","Kiralık Villa","3 +
                        1","150 m²","4
                      Yaşında","Çeşme Reisdere De Yaz Sezonuna Özel Havuzlu Kiralık Villa","Çeşme, Reisdere Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/9/0/5/9/8/3/1654112745-333098-38950908.jpeg","https://www.hepsiemlak.com/emlak-ofisi/zehra-zurnaci-gayrimenkul-ve-danismanlik-104662","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/2/6/6/4/0/1/704f52e2-7d0d-4993-b58a-aa2a9fd5eeae.jpg"
"https://www.hepsiemlak.com/izmir-menemen-85-yil-cumhuriyet-kiralik/daire/142520-107","8","12.000","15-04-2024","Kiralık Daire","1 +
                        1","55 m²","Sıfır Bina","Menemen Seyrekte Merkezi Konumda Eşyalı 1+1 Daire","Menemen, 85. Yıl Cumhuriyet Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/3/5/6/6/4/2/4/2524eae0-1894-4bff-9122-10900a1948fd.jpeg","https://www.hepsiemlak.com/emlak-ofisi/nexus-world-gayrimenkul-yatirim-danismanligi-142520/burcin-atilgan-4030648","https://hecdnnw.hemlak.com/mncropresize/68/68/firmuser/8/4/6/0/3/0/4/ccf24b8f-02e2-4b81-b46f-52d1e2aac842.jpg"
"https://www.hepsiemlak.com/izmir-torbali-cumhuriyet-kiralik/daire/137063-214","7","10.000","02-04-2024","Kiralık Daire","2 +
                        1","95 m²","20
                      Yaşında","Cumhuriyet Mahallesi'nde Kiralık 2+1 Eşyalı Daire","Torbalı, Cumhuriyet Mahallesi","Yüksek Giriş","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/1/3/5/3/2/4/1710372058732-42353129.jpg","",""
"https://www.hepsiemlak.com/izmir-menderes-kemalpasa-kiralik/daire/133561-60","27","18.000","25-03-2024","Kiralık Daire","2 +
                        1","100 m²","Sıfır Bina","Üçbirlik Emlaktan Kiralık Daire","Menderes, Kemalpaşa Mahallesi","4. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/2/4/1/9/1/4/1702631874401-41914231.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/125876-1983","18","30.000","25-03-2024","Kiralık Villa","4 +
                        1","140 m²","30
                      Yaşında","Alaçatı Çamlık Yol Arka Sokağında 4+1 Tripleks","Çeşme, Alaçatı Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/2/1/9/3/2/4/1711021669616-42391288.jpg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-4-125876","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/7/8/5/2/1/0342d86e-fbb2-43c5-93c2-fa0deaffdebc.jpg"
"https://www.hepsiemlak.com/izmir-karsiyaka-bahariye-kiralik/daire/117461-2935","12","18.000","07-03-2024","Kiralık Daire","4 +
                        1","170 m²","21
                      Yaşında","Karşıyaka Adliye Yakını 4+1 Kiralık Daire","Karşıyaka, Bahariye Mahallesi","4. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/2/9/9/1/3/2/4/0e6d478f-e730-4228-be52-108e9a36c2b8.jpeg","",""
"https://www.hepsiemlak.com/izmir-konak-mimar-sinan-kiralik/daire/113782-292","20","30.000","14-03-2024","Kiralık Daire","3 +
                        1","150 m²","35
                      Yaşında","Alsancak Camii Sırasında  Şair Eşref Bulvarı Üzerinde Eşyalı Kiralık","Konak, Mimar Sinan Mahallesi","5. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/0/3/3/1/3/2/4/c411ad7d-890e-46ea-9393-a6ac018df395.jpg","",""
"https://www.hepsiemlak.com/izmir-cigli-harmandali-gazi-mustafa-kemal-ataturk-kiralik/daire/21001-17568","15","16.500","02-04-2024","Kiralık Daire","3 +
                        1","115 m²","15
                      Yaşında","Harmandalı Kiralıkfullyapılı3+1 Doğalgazlı+asansörlü Çiğliserkan","Çiğli, Harmandalı Gazi Mustafa Kemal Atatürk Mahallesi","4. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/1/7/4/4/2/4/a7dd5000-488e-4d77-8dd1-03b9c7cbc2c2.jpg","",""
"https://www.hepsiemlak.com/izmir-buca-efeler-kiralik/daire/130324-539","31","15.000","09-04-2024","Kiralık Daire","3 +
                        1","125 m²","21
                      Yaşında","Güneş'ten 125m2 D.Gazlı Tadilatlı Arakat Kiralık Daire","Buca, Efeler Mahallesi","2. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/5/3/3/2/2/4/4fbb7e6d-c141-4fd3-9d88-eedf42863e5f.jpeg","",""
"https://www.hepsiemlak.com/izmir-urla-iskele-kiralik/daire/112706-6414","35","40.000","19-02-2024","Kiralık Daire","2 +
                        1","95 m²","5
                      Yaşında","Urla İskele'nin Engüzel Deniz Manzarasna Sahip Oksijen Depolu Ev","Urla, İskele Mahallesi","Yüksek Giriş","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/4/9/0/6/8/1/4/969523d5-f53e-4beb-8939-ef6234dcc6a7.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-2-112706","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/0/7/2/1/1/c680c5a7-a39c-4217-b732-2444ffd214a5.jpg"
"https://www.hepsiemlak.com/izmir-karabaglar-doganay-kiralik/daire/76019-1397","11","16.000","07-03-2024","Kiralık Daire","2 +
                        1","90 m²","25
                      Yaşında","Eşyalı Dogalgazlı Yeşilyurt Kıralık Daıre","Karabağlar, Doğanay Mahallesi","1. Kat","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/5/3/1/2/3/2/4/1709825125612-42321352.jpg","",""
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/36744-4656","30","550.000","20-03-2024","Kiralık Villa","3 +
                        1","140 m²","9
                      Yaşında","Alaçatı Göbene'de Butik Havuzlu Sitede Sezonluk Kiralık Tek Müstakil 3+1 Lüx Villa","Çeşme, Alaçatı Mahallesi","","https://hecdn01.hemlak.com/mncropresize/182/137/8/1/9/7/3/1/3/3/29f6ffec-8fbc-40b1-b374-4d454726c79f.jpg","https://www.hepsiemlak.com/emlak-ofisi/arda-gayrimenkul-yatirim-danismanligi-36744","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/4/4/7/6/3/0/877a05ac-81bf-4041-917d-b7308f59f87f.jpg"
"https://www.hepsiemlak.com/izmir-cesme-sifne-kiralik/villa/65747-1479","35","400.000","16-03-2024","Kiralık Villa","3 +
                        1","130 m²","7
                      Yaşında","(s1479) Denize Yürünür, Havuzlu Site, Geniş Bahçe, Bakımlı Villa","Çeşme, Şifne Mahallesi","","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/4/7/5/6/0/6a006b73-dc2c-4c57-bbfe-3336c57ec463.jpg","https://www.hepsiemlak.com/emlak-ofisi/ozkanlar-gayrimenkul-danismanligi-65747",""
"https://www.hepsiemlak.com/izmir-buca-goksu-kiralik/daire/85684-1092","15","12.000","01-03-2024","Kiralık Daire","2 +
                        1","80 m²","8
                      Yaşında","Buca Göksu Mahallesinde 2+1 Acık Mutfak Kiralık Daire","Buca, Göksu Mahallesi","En Üst Kat","","",""
"https://www.hepsiemlak.com/izmir-buca-adatepe-kiralik/daire/31745-20591","34","15.000","16-03-2024","Kiralık Daire","3 +
                        1","130 m²","31
                      Yaşında","Ünivertsiteye Yakın 3+1 Eşyalı Daire","Buca, Adatepe Mahallesi","2. Kat","https://hecdnnw.hemlak.com/mncropresize/91/68/logo/5/4/7/1/3/0/6718b45f-7eab-4495-a6ae-e40f674f4b91.jpg","https://www.hepsiemlak.com/emlak-ofisi/kw-alesta-viya-orsa-5-31745",""
